[2019-06-18 00:37:15] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=YzViOFhYWjJqOFdKMjkzRTczQTFXMFNGRXdoNkJsa0s4ZjhzcTZpaDl4eGZpSzMxYzZlcmI5YmhNYUNhVnpvR0xaZzd1RTU4&timestamp=1560789437375 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:37:16] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=ODdlMEprYXVOd1BZMWJWdHdEOVRFdFdLV3JxMnJnbXh6ckplL2lVckU0aW51K3NuTEowbitXOXF3bi9BVGN5ekRmZjZnM09p&timestamp=1560789437646 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:43] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585236 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585311 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585325 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585260 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585297 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585796 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585819 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585868 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585852 yoxwechatbusinessModel::set_user:BEGIN
