[2019-06-20 08:37:50] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=MzZlN25qZEFEdjZoQUVvb2hNZ2FpQnI2ZS9pWVBMRWlGUktTODdNQ1RzeFRnUDVqV3hlelJhWUtadmNMRUl1OVNSK254TXJs&timestamp=1560991067513 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:37:51] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=ZWM2NG0rL3R4dkNnZlgyR0lrMW1KQ0tORjZCekwrUDVRemEwWXVFMmRZbmxEMkpqRTJBYk9hZmxOMjlZRUFDdlJ4UlUvMis1&timestamp=1560991067799 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:02] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991079527 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991079739 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:02] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991079589 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991079694 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:02] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991079663 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080083 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080122 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080138 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080046 yoxwechatbusinessModel::set_user:BEGIN
