[2019-07-20 00:06:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=MWQwY1BtV3dRbllmZmhaRHFtWjZBSHU0bmtiNzhyRllxcmg2d0lIWjNjVXJxcXVueEFNU3Y2U1pRRzNRNEY4S2ZqMWdPa29XaVlodEdZenNxMVRNc2YxdUpzWlJZVE95bkEvVEszNXpkS25Ma0E%3D&timestamp=1563552405838 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:48] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=MWQwY1BtV3dRbllmZmhaRHFtWjZBSHU0bmtiNzhyRllxcmg2d0lIWjNjVXJxcXVueEFNU3Y2U1pRRzNRNEY4S2ZqMWdPa29XaVlodEdZenNxMVRNc2YxdUpzWlJZVE95bkEvVEszNXpkS25Ma0E%3D&timestamp=1563552405826 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:48] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&authkey=MWQwY1BtV3dRbllmZmhaRHFtWjZBSHU0bmtiNzhyRllxcmg2d0lIWjNjVXJxcXVueEFNU3Y2U1pRRzNRNEY4S2ZqMWdPa29XaVlodEdZenNxMVRNc2YxdUpzWlJZVE95bkEvVEszNXpkS25Ma0E%3D&timestamp=1563552405742 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:48] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=MWQwY1BtV3dRbllmZmhaRHFtWjZBSHU0bmtiNzhyRllxcmg2d0lIWjNjVXJxcXVueEFNU3Y2U1pRRzNRNEY4S2ZqMWdPa29XaVlodEdZenNxMVRNc2YxdUpzWlJZVE95bkEvVEszNXpkS25Ma0E%3D&timestamp=1563552405781 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:49] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=MWQwY1BtV3dRbllmZmhaRHFtWjZBSHU0bmtiNzhyRllxcmg2d0lIWjNjVXJxcXVueEFNU3Y2U1pRRzNRNEY4S2ZqMWdPa29XaVlodEdZenNxMVRNc2YxdUpzWlJZVE95bkEvVEszNXpkS25Ma0E%3D&timestamp=1563552405852 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=NWExNWlDSnF0RE44SkVaQUs4Ymhvc2c3ZWZHYk9qWUNOYys4WGgzSktzSEowZjgvRFdYeFJ5ZksrZTlaK1BGc2lqcGlqelJDRjA1L2luYkN4RGsrQVFncVJ5cjlXaVc2VUFmVVBnMklwKzM3d3c%3D&timestamp=1563552413265 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=NWExNWlDSnF0RE44SkVaQUs4Ymhvc2c3ZWZHYk9qWUNOYys4WGgzSktzSEowZjgvRFdYeFJ5ZksrZTlaK1BGc2lqcGlqelJDRjA1L2luYkN4RGsrQVFncVJ5cjlXaVc2VUFmVVBnMklwKzM3d3c%3D&timestamp=1563552413265 yoxwechatbusinessModel::set_user:END
[2019-07-20 00:06:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=NWExNWlDSnF0RE44SkVaQUs4Ymhvc2c3ZWZHYk9qWUNOYys4WGgzSktzSEowZjgvRFdYeFJ5ZksrZTlaK1BGc2lqcGlqelJDRjA1L2luYkN4RGsrQVFncVJ5cjlXaVc2VUFmVVBnMklwKzM3d3c%3D&timestamp=1563552413248 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=NWExNWlDSnF0RE44SkVaQUs4Ymhvc2c3ZWZHYk9qWUNOYys4WGgzSktzSEowZjgvRFdYeFJ5ZksrZTlaK1BGc2lqcGlqelJDRjA1L2luYkN4RGsrQVFncVJ5cjlXaVc2VUFmVVBnMklwKzM3d3c%3D&timestamp=1563552413248 yoxwechatbusinessModel::set_user:END
[2019-07-20 00:06:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=NWExNWlDSnF0RE44SkVaQUs4Ymhvc2c3ZWZHYk9qWUNOYys4WGgzSktzSEowZjgvRFdYeFJ5ZksrZTlaK1BGc2lqcGlqelJDRjA1L2luYkN4RGsrQVFncVJ5cjlXaVc2VUFmVVBnMklwKzM3d3c%3D&timestamp=1563552413278 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 00:06:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=NWExNWlDSnF0RE44SkVaQUs4Ymhvc2c3ZWZHYk9qWUNOYys4WGgzSktzSEowZjgvRFdYeFJ5ZksrZTlaK1BGc2lqcGlqelJDRjA1L2luYkN4RGsrQVFncVJ5cjlXaVc2VUFmVVBnMklwKzM3d3c%3D&timestamp=1563552413278 yoxwechatbusinessModel::set_user:END
