[2019-08-23 14:48:09] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542886798 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542886752 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:10] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542886695 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542886773 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:10] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&authkey=&timestamp=1566542886639 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:18] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=ZDUxZDlqckNKSStRcUR3emZrVTdrWGxLU08zdk9yUWs1QWl6YVlUVTRWaTNwdW4rbjRScDZKR2UrZ3lWT2dJQ2pIZXF3Ty9waVZuanp5U0FUZ3NKbXoxZk43SQ%3D%3D&timestamp=1566542896643 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:18] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=ZDUxZDlqckNKSStRcUR3emZrVTdrWGxLU08zdk9yUWs1QWl6YVlUVTRWaTNwdW4rbjRScDZKR2UrZ3lWT2dJQ2pIZXF3Ty9waVZuanp5U0FUZ3NKbXoxZk43SQ%3D%3D&timestamp=1566542896643 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:18] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=ZDUxZDlqckNKSStRcUR3emZrVTdrWGxLU08zdk9yUWs1QWl6YVlUVTRWaTNwdW4rbjRScDZKR2UrZ3lWT2dJQ2pIZXF3Ty9waVZuanp5U0FUZ3NKbXoxZk43SQ%3D%3D&timestamp=1566542896663 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:18] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=ZDUxZDlqckNKSStRcUR3emZrVTdrWGxLU08zdk9yUWs1QWl6YVlUVTRWaTNwdW4rbjRScDZKR2UrZ3lWT2dJQ2pIZXF3Ty9waVZuanp5U0FUZ3NKbXoxZk43SQ%3D%3D&timestamp=1566542896663 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:27] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905579 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:27] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905579 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:27] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905612 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:27] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905612 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905661 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905661 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:28] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905703 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:28] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905703 yoxwechatbusinessModel::set_user:END
