[2019-08-25 10:58:20] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5JBwvlh4Ip-O4JwkND2EOCg&mid=&merchid=&authkey=ODE4NzhqS0NiV1pFSzBXNWlnZlV4cWlHR3ZacFVLNjNEcVNnTXFrMFFRK09zY0tsU0pvVEVrNEZ6RVBJRUszaElKOUJOS1lX&timestamp=1566701900157 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 10:58:21] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5JBwvlh4Ip-O4JwkND2EOCg&mid=&merchid=&authkey=MjNlNVIzQkFYZ045TEttK0l0dDY5N2ZIajNiYmRpN2RYVWM3WGNIay9WdnVIdGhxejlnZnBmMHczR3NjZ3pwb3NrMEtTYUM2&timestamp=1566701900733 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&authkey=&timestamp=1566726123290 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&authkey=&timestamp=1566726123290 yoxwechatbusinessModel::set_user:END
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123308 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123308 yoxwechatbusinessModel::set_user:END
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123327 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123327 yoxwechatbusinessModel::set_user:END
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123334 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123334 yoxwechatbusinessModel::set_user:END
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123340 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 17:42:05] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=&timestamp=1566726123340 yoxwechatbusinessModel::set_user:END
[2019-08-25 17:42:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_category&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=MGNkYllBSGxzKzlBQlBKMmxwQTFrMlFkQVFxc25mbVlDbHlVTlFRd2Q3MXQvT0YxNi9rOGJYTWtTT1o1VVJ2SlFyanc3c2tERDg2WUhueFhEd1VPRm9Qb3ExYw%3D%3D&timestamp=1566726130684 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 17:42:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_category&comefrom=wxapp&openid=sns_wa_oWJzS5NYYPqamJS4vWkrf9zQrx7g&mid=&merchid=&authkey=MGNkYllBSGxzKzlBQlBKMmxwQTFrMlFkQVFxc25mbVlDbHlVTlFRd2Q3MXQvT0YxNi9rOGJYTWtTT1o1VVJ2SlFyanc3c2tERDg2WUhueFhEd1VPRm9Qb3ExYw%3D%3D&timestamp=1566726130684 yoxwechatbusinessModel::set_user:END
[2019-08-25 21:45:15] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5CDOVIDeWOgbHDydWB1CtyI&authkey=&timestamp=1566740713975 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 21:45:16] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5CDOVIDeWOgbHDydWB1CtyI&mid=&merchid=&authkey=&timestamp=1566740714026 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-25 21:45:16] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5CDOVIDeWOgbHDydWB1CtyI&mid=&merchid=&authkey=&timestamp=1566740714017 yoxwechatbusinessModel::set_user:BEGIN
