[2019-08-26 04:30:42] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=NzEyYzd3QjZXMmpiK2c4M0FjYVg5VnhrRWF5d0pSdThlWVpDcU1Fc0t4eVUrYnhhQmtHRjBnemx3Mm1mdVJXb24vdU5uNXp2ekxkZUszMUhlV3d0QnpNb3BTMmtDUzJSVjhhU0NZeGhJemxGUFE%3D&timestamp=1566765041117 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:30:44] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=NTQ5N296cDJOd1FTTGIzc3JJYVZ3RFA5bFU5SnE0Vy8vMG9vM3BSdzJUckMyQzJVY3BlVExtczlCd0NQejVMM1hqTVJOZWN6&timestamp=1566765040120 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:31:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765060982 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:31:24] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765060971 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:31:24] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765060960 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:18] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765196679 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:18] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765196703 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:18] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765196719 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:21] trace  /app/ewei_shopv2_api.php?i=2&r=member.cart.get_cart&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=NDRkNlFzSHFMUnZXWEpxbHFLdjNMdGtuMUZ6ejh5YjBIYzFxLzJHTDgvekRZbS9rUWs0eFFKUEQ3UE5RbUNsMU8zaGk0L0h5S3ZMMEVPRlVQRkt5K1NjMkNzWHliTFB1M25tVy9sY2ZQaWNFbkE%3D&timestamp=1566765200118 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:21] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=NDRkNlFzSHFMUnZXWEpxbHFLdjNMdGtuMUZ6ejh5YjBIYzFxLzJHTDgvekRZbS9rUWs0eFFKUEQ3UE5RbUNsMU8zaGk0L0h5S3ZMMEVPRlVQRkt5K1NjMkNzWHliTFB1M25tVy9sY2ZQaWNFbkE%3D&timestamp=1566765200092 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765205807 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765205817 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765205826 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:28] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765207161 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:28] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765207181 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765224717 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765224727 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765224737 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:48] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765226578 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:48] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765226593 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:33:52] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.user.my_info&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765231061 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:14] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.user.my_info&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765252689 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:31] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.certificate&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765270053 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:34] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.user.my_info&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765273254 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765283078 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765283068 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:44] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765283015 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:44] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765283038 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:45] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765283088 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:55] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765293818 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:55] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=goodsdetail&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765293829 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:58] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=23&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=NjBiOExCTHpZclp4M203ekNhYWs0cUVuS1FZMFArOWNYSjhFa3ZsL3ZrSytIVElXVysxSjNGRGJOR0ZwS1pwMmtNYWZXaW80cnhoNGFhV3NsYWVUejU3bXpqcw%3D%3D&timestamp=1566765297258 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:58] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=23&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=NjBiOExCTHpZclp4M203ekNhYWs0cUVuS1FZMFArOWNYSjhFa3ZsL3ZrSytIVElXVysxSjNGRGJOR0ZwS1pwMmtNYWZXaW80cnhoNGFhV3NsYWVUejU3bXpqcw%3D%3D&timestamp=1566765297258 yoxwechatbusinessModel::set_user:END
